AFI|https://i.scdn.co/image/ab6761610000e5ebbdecf4762da0117e96e03fb8|https://flagcdn.com/w40/us.png|United States
Blaqk Audio|https://i.scdn.co/image/ab6761610000e5eb3d5c179918eb69ad34b5238e|https://flagcdn.com/w40/us.png|United States
A Perfect Circle|https://i.scdn.co/image/ab6761610000e5eb41472573351dfea479a4ffba|https://flagcdn.com/w40/us.png|United States
Celldweller|https://i.scdn.co/image/ab6761610000e5eb8aef0ba190c5b7b65a07ccee|https://flagcdn.com/w40/us.png|United States
Depeche Mode|https://i.scdn.co/image/ab6761610000e5ebaff13c9484fdad590ccfb73c|https://flagcdn.com/w40/gb.png|United Kingdom
Dreamcar|https://i.scdn.co/image/ab6761610000e5ebd1921fd5135cc73756ad5d3a|https://flagcdn.com/w40/us.png|United States
The Birthday Massacre|https://i.scdn.co/image/ab6761610000e5eb916d2275e3b91d069e6e7683|https://flagcdn.com/w40/ca.png|Canada
XTRMST|https://i.scdn.co/image/e19f83c22ff735b1edb7bd4d8c891883515751ff|https://flagcdn.com/w40/us.png|United States
twenty one pilots|https://i.scdn.co/image/ab6761610000e5eb196972172c37d934d9ca8093|https://flagcdn.com/w40/us.png|United States
As It Is|https://i.scdn.co/image/ab6761610000e5eb7d820701b80ea8356d094081|None|Brighton
Paramore|https://i.scdn.co/image/ab6761610000e5ebb10c34546a4ca2d7faeb8865|https://flagcdn.com/w40/us.png|United States
ConcernedApe|https://i.scdn.co/image/ab6761610000e5ebe17351c781f0cd9ae4b6442e|https://flagcdn.com/w40/us.png|United States
My Chemical Romance|https://i.scdn.co/image/ab6761610000e5eb9c00ad0308287b38b8fdabc2|https://flagcdn.com/w40/us.png|United States
Green Day|https://i.scdn.co/image/ab6761610000e5eb047eac333eff0be4abe32cbf|https://flagcdn.com/w40/us.png|United States
Son Of Sam|https://i.scdn.co/image/ab67616d0000b273d8cfbf364ef071ac2fa0eee4||Unknown
Scandroid|https://i.scdn.co/image/ab6761610000e5ebb030f879f8c16e8fa5c437ab|https://flagcdn.com/w40/us.png|United States
Ed Sheeran|https://i.scdn.co/image/ab6761610000e5eb12a2ef08d00dd7451a6dbed6|https://flagcdn.com/w40/gb.png|United Kingdom
Glass Animals|https://i.scdn.co/image/ab6761610000e5eb66b27eccb69756f8eceabc23|https://flagcdn.com/w40/gb.png|United Kingdom
Weezer|https://i.scdn.co/image/ab6761610000e5eb7d6493f1716643ff37ef74da|https://flagcdn.com/w40/us.png|United States
Rise Against|https://i.scdn.co/image/ab6761610000e5eb8e19de59bac2628eb8929156|https://flagcdn.com/w40/us.png|United States
Motionless in White|https://i.scdn.co/image/ab6761610000e5eb58f2b24b02877506d74b612b|https://flagcdn.com/w40/us.png|United States
Linkin Park|https://i.scdn.co/image/ab6761610000e5eb34e5aa6afc1ba147bfbb0677|https://flagcdn.com/w40/us.png|United States
blink-182|https://i.scdn.co/image/ab6761610000e5eb33639aaeecfcc5ebada97476|https://flagcdn.com/w40/us.png|United States
Avril Lavigne|https://i.scdn.co/image/ab6761610000e5eb581efa688945cbb092df1726|https://flagcdn.com/w40/ca.png|Canada
Jimmy Eat World|https://i.scdn.co/image/ab6761610000e5eb0dc33cfd207772f8e2f6b46f|https://flagcdn.com/w40/us.png|United States
Nirvana|https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b|https://flagcdn.com/w40/us.png|United States
Three Days Grace|https://i.scdn.co/image/ab6761610000e5eb3626be769b238e2a35010613|https://flagcdn.com/w40/ca.png|Canada
You Me at Six|https://i.scdn.co/image/ab6761610000e5ebc43aed7a2511d1c725322788|https://flagcdn.com/w40/gb.png|United Kingdom
Ashley Johnson|https://i.scdn.co/image/ab67616d0000b2735aeb6eb270407d67635b631b||Unknown
Palaye Royale|https://i.scdn.co/image/ab6761610000e5eb66418075fca6503e959f160f|https://flagcdn.com/w40/ca.png|Canada
Måneskin|https://i.scdn.co/image/ab6761610000e5ebae9d3f8db5842d33786cab87|https://flagcdn.com/w40/it.png|Italy
タニウチヒデキ|https://i.scdn.co/image/ab67616d0000b273d4b8ea65d728b2c03ad1afb6|https://flagcdn.com/w40/jp.png|Japan
John Williams|https://i.scdn.co/image/ab6761610000e5eb86b13e4d2e65ebf694384ef4|https://flagcdn.com/w40/us.png|United States
Lifehouse|https://i.scdn.co/image/ab6761610000e5eb12e6a316cab1c10592429fa4|https://flagcdn.com/w40/us.png|United States
Bullet for My Valentine|https://i.scdn.co/image/ab6761610000e5eb083627f7d306f40cd7ff8893|https://flagcdn.com/w40/gb.png|United Kingdom
Bring Me the Horizon|https://i.scdn.co/image/ab6761610000e5eb001ae3b1275c9ec37a4c550b|https://flagcdn.com/w40/gb.png|United Kingdom
Simple Plan|https://i.scdn.co/image/ab6761610000e5eb14be52ba7ed12e0177ebe08b|https://flagcdn.com/w40/ca.png|Canada
The Offspring|https://i.scdn.co/image/ab6761610000e5ebd7c5bbf32459922a72ec0d31|https://flagcdn.com/w40/us.png|United States
Misfits|https://i.scdn.co/image/ab6761610000e5eb030d67ff9576754ff230b2c0|https://flagcdn.com/w40/us.png|United States
Billy Talent|https://i.scdn.co/image/ab6761610000e5eb8258da65d03c3638cb6fe484|https://flagcdn.com/w40/ca.png|Canada
NOFX|https://i.scdn.co/image/ab6772690000c46cddcf65625878991cf30658be|https://flagcdn.com/w40/us.png|United States
Twinsign|https://i.scdn.co/image/ab6761610000e5ebeb45b4317735198d64e1ab83|https://flagcdn.com/w40/us.png|United States
